date,KOSPI,SP500,VIX,US10,KR10,GOLD,CRUDE_W,NIKKEI,EUROSTX
1975-04-01,,,,,,1403.3999999999992,,,
1975-04-02,,,,,,1402.3999999999992,,,
1975-04-03,,,,,,1401.3999999999992,,,
1975-04-04,,,,,,1398.0999999999992,,,
1975-04-07,,,,,,1398.3999999999992,,,
1975-04-08,,,,,,1398.799999999999,,,
1975-04-09,,,,,,1398.799999999999,,,
1975-04-10,,,,,,1397.3999999999992,,,
1975-04-11,,,,,,1396.999999999999,,,
1975-04-14,,,,,,1390.499999999999,,,
1975-04-15,,,,,,1388.8999999999992,,,
1975-04-16,,,,,,1390.799999999999,,,
1975-04-17,,,,,,1393.799999999999,,,
1975-04-18,,,,,,1393.299999999999,,,
1975-04-21,,,,,,1389.999999999999,,,
1975-04-22,,,,,,1390.999999999999,,,
1975-04-23,,,,,,1393.0999999999992,,,
1975-04-24,,,,,,1391.299999999999,,,
1975-04-25,,,,,,1391.0999999999992,,,
1975-04-28,,,,,,1390.5999999999992,,,
1975-04-29,,,,,,1392.0999999999992,,,
1975-04-30,,,,,,1391.0999999999992,,,
1975-05-01,,,,,,1389.799999999999,,,
1975-05-02,,,,,,1389.299999999999,,,
1975-05-05,,,,,,1387.799999999999,,,
1975-05-06,,,,,,1389.1999999999991,,,
1975-05-07,,,,,,1390.3999999999992,,,
1975-05-08,,,,,,1391.5999999999992,,,
1975-05-09,,,,,,1390.8999999999992,,,
1975-05-12,,,,,,1390.1999999999991,,,
1975-05-13,,,,,,1390.999999999999,,,
1975-05-14,,,,,,1393.5999999999992,,,
1975-05-15,,,,,,1390.1999999999991,,,
1975-05-16,,,,,,1391.1999999999991,,,
1975-05-19,,,,,,1393.0999999999992,,,
1975-05-20,,,,,,1392.499999999999,,,
1975-05-21,,,,,,1396.499999999999,,,
1975-05-22,,,,,,1397.799999999999,,,
1975-05-23,,,,,,1398.999999999999,,,
1975-05-27,,,,,,1396.299999999999,,,
1975-05-28,,,,,,1394.299999999999,,,
1975-05-29,,,,,,1391.8999999999992,,,
1975-05-30,,,,,,1390.799999999999,,,
1975-06-02,,,,,,1386.999999999999,,,
1975-06-03,,,,,,1389.299999999999,,,
1975-06-04,,,,,,1387.6999999999991,,,
1975-06-05,,,,,,1389.1999999999991,,,
1975-06-06,,,,,,1388.999999999999,,,
1975-06-09,,,,,,1390.299999999999,,,
1975-06-10,,,,,,1389.0999999999992,,,
1975-06-11,,,,,,1388.8999999999992,,,
1975-06-12,,,,,,1388.299999999999,,,
1975-06-13,,,,,,1387.6999999999991,,,
1975-06-16,,,,,,1386.1999999999991,,,
1975-06-17,,,,,,1387.799999999999,,,
1975-06-18,,,,,,1387.1999999999991,,,
1975-06-19,,,,,,1386.0999999999992,,,
1975-06-20,,,,,,1386.0999999999992,,,
1975-06-23,,,,,,1385.299999999999,,,
1975-06-24,,,,,,1386.299999999999,,,
1975-06-25,,,,,,1388.0999999999992,,,
1975-06-26,,,,,,1387.799999999999,,,
1975-06-27,,,,,,1389.6999999999991,,,
1975-06-30,,,,,,1389.5999999999992,,,
1975-07-01,,,,,,1389.8999999999992,,,
1975-07-02,,,,,,1388.0999999999992,,,
1975-07-03,,,,,,1388.1999999999991,,,
1975-07-07,,,,,,1385.799999999999,,,
1975-07-08,,,,,,1388.499999999999,,,
1975-07-09,,,,,,1388.6999999999991,,,
1975-07-10,,,,,,1387.0999999999992,,,
1975-07-11,,,,,,1389.1999999999991,,,
1975-07-14,,,,,,1388.799999999999,,,
1975-07-15,,,,,,1387.6999999999991,,,
1975-07-16,,,,,,1387.0999999999992,,,
1975-07-17,,,,,,1387.0999999999992,,,
1975-07-18,,,,,,1387.1999999999991,,,
1975-07-21,,,,,,1386.8999999999992,,,
1975-07-22,,,,,,1388.1999999999991,,,
1975-07-23,,,,,,1387.299999999999,,,
1975-07-24,,,,,,1387.799999999999,,,
1975-07-25,,,,,,1389.6999999999991,,,
1975-07-28,,,,,,1391.5999999999992,,,
1975-07-29,,,,,,1389.499999999999,,,
1975-07-30,,,,,,1389.5999999999992,,,
1975-07-31,,,,,,1389.299999999999,,,
1975-08-01,,,,,,1389.299999999999,,,
1975-08-04,,,,,,1389.0999999999992,,,
1975-08-05,,,,,,1387.6999999999991,,,
1975-08-06,,,,,,1386.999999999999,,,
1975-08-07,,,,,,1387.299999999999,,,
1975-08-08,,,,,,1382.799999999999,,,
1975-08-11,,,,,,1382.8999999999992,,,
1975-08-12,,,,,,1384.499999999999,,,
1975-08-13,,,,,,1381.1999999999991,,,
1975-08-14,,,,,,1380.099999999999,,,
1975-08-15,,,,,,1382.999999999999,,,
1975-08-18,,,,,,1382.3999999999992,,,
1975-08-19,,,,,,1382.3999999999992,,,
1975-08-20,,,,,,1383.1999999999991,,,
1975-08-21,,,,,,1382.499999999999,,,
1975-08-22,,,,,,1381.999999999999,,,
1975-08-25,,,,,,1382.099999999999,,,
1975-08-26,,,,,,1381.6999999999991,,,
1975-08-27,,,,,,1382.099999999999,,,
1975-08-28,,,,,,1381.599999999999,,,
1975-08-29,,,,,,1378.999999999999,,,
1975-09-02,,,,,,1368.999999999999,,,
1975-09-03,,,,,,1370.0999999999992,,,
1975-09-04,,,,,,1371.6999999999991,,,
1975-09-05,,,,,,1372.5999999999992,,,
1975-09-08,,,,,,1369.799999999999,,,
1975-09-09,,,,,,1368.5999999999992,,,
1975-09-10,,,,,,1367.299999999999,,,
1975-09-11,,,,,,1366.499999999999,,,
1975-09-12,,,,,,1366.5999999999992,,,
1975-09-15,,,,,,1366.8999999999992,,,
1975-09-16,,,,,,1364.6999999999991,,,
1975-09-17,,,,,,1361.299999999999,,,
1975-09-18,,,,,,1354.8999999999992,,,
1975-09-19,,,,,,1355.499999999999,,,
1975-09-22,,,,,,1351.8999999999992,,,
1975-09-23,,,,,,1348.299999999999,,,
1975-09-24,,,,,,1354.5999999999992,,,
1975-09-25,,,,,,1353.999999999999,,,
1975-09-26,,,,,,1355.8999999999992,,,
1975-09-29,,,,,,1356.799999999999,,,
1975-09-30,,,,,,1359.1999999999991,,,
1975-10-01,,,,,,1361.1999999999991,,,
1975-10-02,,,,,,1360.3999999999992,,,
1975-10-03,,,,,,1356.8999999999992,,,
1975-10-06,,,,,,1359.599999999999,,,
1975-10-07,,,,,,1360.6999999999991,,,
1975-10-08,,,,,,1356.599999999999,,,
1975-10-09,,,,,,1358.6999999999991,,,
1975-10-10,,,,,,1360.599999999999,,,
1975-10-14,,,,,,1359.8999999999992,,,
1975-10-15,,,,,,1359.8999999999992,,,
1975-10-16,,,,,,1360.999999999999,,,
1975-10-17,,,,,,1363.0999999999992,,,
1975-10-20,,,,,,1363.7999999999993,,,
1975-10-21,,,,,,1362.1999999999991,,,
1975-10-22,,,,,,1363.499999999999,,,
1975-10-23,,,,,,1362.099999999999,,,
1975-10-24,,,,,,1361.099999999999,,,
1975-10-27,,,,,,1359.999999999999,,,
1975-10-28,,,,,,1360.299999999999,,,
1975-10-29,,,,,,1361.099999999999,,,
1975-10-30,,,,,,1360.599999999999,,,
1975-10-31,,,,,,1359.799999999999,,,
1975-11-03,,,,,,1360.299999999999,,,
1975-11-05,,,,,,1365.3999999999992,,,
1975-11-06,,,,,,1362.999999999999,,,
1975-11-07,,,,,,1363.0999999999992,,,
1975-11-10,,,,,,1361.6999999999991,,,
1975-11-12,,,,,,1360.999999999999,,,
1975-11-13,,,,,,1359.8999999999992,,,
1975-11-14,,,,,,1358.599999999999,,,
1975-11-17,,,,,,1356.299999999999,,,
1975-11-18,,,,,,1357.299999999999,,,
1975-11-19,,,,,,1359.8999999999992,,,
1975-11-20,,,,,,1358.799999999999,,,
1975-11-21,,,,,,1358.099999999999,,,
1975-11-24,,,,,,1358.299999999999,,,
1975-11-25,,,,,,1357.299999999999,,,
1975-11-26,,,,,,1356.599999999999,,,
1975-11-28,,,,,,1354.299999999999,,,
1975-12-01,,,,,,1353.8999999999992,,,
1975-12-02,,,,,,1355.499999999999,,,
1975-12-03,,,,,,1354.499999999999,,,
1975-12-04,,,,,,1354.499999999999,,,
1975-12-05,,,,,,1354.1999999999991,,,
1975-12-08,,,,,,1352.3999999999992,,,
1975-12-09,,,,,,1353.6999999999991,,,
1975-12-10,,,,,,1355.3999999999992,,,
1975-12-11,,,,,,1355.499999999999,,,
1975-12-12,,,,,,1354.3999999999992,,,
1975-12-15,,,,,,1353.599999999999,,,
1975-12-16,,,,,,1354.3999999999992,,,
1975-12-17,,,,,,1354.6999999999991,,,
1975-12-18,,,,,,1354.599999999999,,,
1975-12-19,,,,,,1361.599999999999,,,
1975-12-22,,,,,,1359.1999999999991,,,
1975-12-23,,,,,,1357.3999999999992,,,
1975-12-24,,,,,,1357.1999999999991,,,
1975-12-29,,,,,,1357.3999999999992,,,
1975-12-30,,,,,,1357.299999999999,,,
1975-12-31,,,,,,1356.499999999999,,,
1976-01-02,,,,,,1356.6999999999991,,,
1976-01-05,,,,,,1355.099999999999,,,
1976-01-06,,,,,,1355.599999999999,,,
1976-01-07,,,,,,1354.8999999999992,,,
1976-01-08,,,,,,1351.599999999999,,,
1976-01-09,,,,,,1352.3999999999992,,,
1976-01-12,,,,,,1352.3999999999992,,,
1976-01-13,,,,,,1347.499999999999,,,
1976-01-14,,,,,,1348.499999999999,,,
1976-01-15,,,,,,1346.999999999999,,,
1976-01-16,,,,,,1346.499999999999,,,
1976-01-19,,,,,,1343.099999999999,,,
1976-01-20,,,,,,1339.599999999999,,,
1976-01-21,,,,,,1339.1999999999991,,,
1976-01-22,,,,,,1340.999999999999,,,
1976-01-23,,,,,,1343.3999999999992,,,
1976-01-26,,,,,,1340.999999999999,,,
1976-01-27,,,,,,1341.3999999999992,,,
1976-01-28,,,,,,1343.6999999999991,,,
1976-01-29,,,,,,1343.599999999999,,,
1976-01-30,,,,,,1343.599999999999,,,
1976-02-02,,,,,,1345.8999999999992,,,
1976-02-03,,,,,,1345.6999999999991,,,
1976-02-04,,,,,,1343.799999999999,,,
1976-02-05,,,,,,1343.799999999999,,,
1976-02-06,,,,,,1345.799999999999,,,
1976-02-09,,,,,,1344.799999999999,,,
1976-02-10,,,,,,1345.1999999999991,,,
1976-02-11,,,,,,1344.6999999999991,,,
1976-02-12,,,,,,1345.099999999999,,,
1976-02-13,,,,,,1345.599999999999,,,
1976-02-17,,,,,,1344.599999999999,,,
1976-02-18,,,,,,1344.8999999999992,,,
