date,SP500,Dividend,Long Interest Rate,Consumer Price Index,PE10
1871-01-01,4.44,0.26,5.32,12.46,0.0
1871-02-01,4.5,0.26,5.32,12.84,0.0
1871-03-01,4.61,0.26,5.33,13.03,0.0
1871-04-01,4.74,0.26,5.33,12.56,0.0
1871-05-01,4.86,0.26,5.33,12.27,0.0
1871-06-01,4.82,0.26,5.34,12.08,0.0
1871-07-01,4.73,0.26,5.34,12.08,0.0
1871-08-01,4.79,0.26,5.34,11.89,0.0
1871-09-01,4.84,0.26,5.35,12.18,0.0
1871-10-01,4.59,0.26,5.35,12.37,0.0
1871-11-01,4.64,0.26,5.35,12.37,0.0
1871-12-01,4.74,0.26,5.36,12.65,0.0
1872-01-01,4.86,0.2633,5.36,12.65,0.0
1872-02-01,4.88,0.2667,5.38,12.65,0.0
1872-03-01,5.04,0.27,5.4,12.84,0.0
1872-04-01,5.18,0.2733,5.42,13.13,0.0
1872-05-01,5.18,0.2767,5.43,13.13,0.0
1872-06-01,5.13,0.28,5.45,13.03,0.0
1872-07-01,5.1,0.2833,5.47,12.84,0.0
1872-08-01,5.04,0.2867,5.49,12.94,0.0
1872-09-01,4.95,0.29,5.51,13.03,0.0
1872-10-01,4.97,0.2933,5.52,12.75,0.0
1872-11-01,4.95,0.2967,5.54,13.13,0.0
1872-12-01,5.07,0.3,5.56,12.94,0.0
1873-01-01,5.11,0.3025,5.58,12.94,0.0
1873-02-01,5.15,0.305,5.57,13.23,0.0
1873-03-01,5.11,0.3075,5.56,13.23,0.0
1873-04-01,5.04,0.31,5.55,13.23,0.0
1873-05-01,5.05,0.3125,5.54,12.94,0.0
1873-06-01,4.98,0.315,5.53,12.56,0.0
1873-07-01,4.97,0.3175,5.53,12.56,0.0
1873-08-01,4.97,0.32,5.52,12.56,0.0
1873-09-01,4.59,0.3225,5.51,12.56,0.0
1873-10-01,4.19,0.325,5.5,12.27,0.0
1873-11-01,4.04,0.3275,5.49,11.89,0.0
1873-12-01,4.42,0.33,5.48,12.18,0.0
1874-01-01,4.66,0.33,5.47,12.37,0.0
1874-02-01,4.8,0.33,5.44,12.37,0.0
1874-03-01,4.73,0.33,5.4,12.37,0.0
1874-04-01,4.6,0.33,5.37,12.18,0.0
1874-05-01,4.48,0.33,5.34,12.08,0.0
1874-06-01,4.46,0.33,5.3,11.8,0.0
1874-07-01,4.46,0.33,5.27,11.89,0.0
1874-08-01,4.47,0.33,5.24,11.8,0.0
1874-09-01,4.54,0.33,5.2,11.8,0.0
1874-10-01,4.53,0.33,5.17,11.61,0.0
1874-11-01,4.57,0.33,5.14,11.51,0.0
1874-12-01,4.54,0.33,5.1,11.51,0.0
1875-01-01,4.54,0.3275,5.07,11.51,0.0
1875-02-01,4.53,0.325,5.03,11.51,0.0
1875-03-01,4.59,0.3225,4.99,11.51,0.0
1875-04-01,4.65,0.32,4.95,11.61,0.0
1875-05-01,4.47,0.3175,4.91,11.32,0.0
1875-06-01,4.38,0.315,4.87,11.13,0.0
1875-07-01,4.39,0.3125,4.83,11.13,0.0
1875-08-01,4.41,0.31,4.79,11.23,0.0
1875-09-01,4.37,0.3075,4.75,11.13,0.0
1875-10-01,4.3,0.305,4.71,11.13,0.0
1875-11-01,4.37,0.3025,4.67,11.04,0.0
1875-12-01,4.37,0.3,4.63,10.94,0.0
1876-01-01,4.46,0.3,4.59,10.85,0.0
1876-02-01,4.52,0.3,4.58,10.85,0.0
1876-03-01,4.51,0.3,4.57,10.85,0.0
1876-04-01,4.34,0.3,4.56,10.75,0.0
1876-05-01,4.18,0.3,4.54,10.37,0.0
1876-06-01,4.15,0.3,4.53,10.09,0.0
1876-07-01,4.1,0.3,4.52,10.09,0.0
1876-08-01,3.93,0.3,4.51,10.18,0.0
1876-09-01,3.69,0.3,4.5,10.28,0.0
1876-10-01,3.67,0.3,4.49,10.47,0.0
1876-11-01,3.6,0.3,4.47,10.56,0.0
1876-12-01,3.58,0.3,4.46,10.75,0.0
1877-01-01,3.55,0.2908,4.45,10.94,0.0
1877-02-01,3.34,0.2817,4.44,10.66,0.0
1877-03-01,3.17,0.2725,4.43,10.18,0.0
1877-04-01,2.94,0.2633,4.42,10.47,0.0
1877-05-01,2.94,0.2542,4.41,10.66,0.0
1877-06-01,2.73,0.245,4.4,10.09,0.0
1877-07-01,2.85,0.2358,4.39,10.18,0.0
1877-08-01,3.05,0.2267,4.39,9.8,0.0
1877-09-01,3.24,0.2175,4.38,9.7,0.0
1877-10-01,3.31,0.2083,4.37,9.7,0.0
1877-11-01,3.26,0.1992,4.36,9.51,0.0
1877-12-01,3.25,0.19,4.35,9.51,0.0
1878-01-01,3.25,0.1892,4.34,9.23,0.0
1878-02-01,3.18,0.1883,4.33,9.13,0.0
1878-03-01,3.24,0.1875,4.32,8.94,0.0
1878-04-01,3.33,0.1867,4.31,8.85,0.0
1878-05-01,3.34,0.1858,4.3,8.56,0.0
1878-06-01,3.41,0.185,4.29,8.37,0.0
1878-07-01,3.48,0.1842,4.28,8.47,0.0
1878-08-01,3.45,0.1833,4.27,8.56,0.0
1878-09-01,3.52,0.1825,4.26,8.56,0.0
1878-10-01,3.48,0.1817,4.25,8.47,0.0
1878-11-01,3.47,0.1808,4.24,8.37,0.0
1878-12-01,3.45,0.18,4.23,8.18,0.0
1879-01-01,3.58,0.1817,4.22,8.28,0.0
1879-02-01,3.71,0.1833,4.2,8.37,0.0
1879-03-01,3.65,0.185,4.19,8.28,0.0
1879-04-01,3.77,0.1867,4.17,8.18,0.0
1879-05-01,3.94,0.1883,4.15,8.18,0.0
1879-06-01,3.96,0.19,4.14,8.09,0.0
