date,TREND,RISK,FLOW,COST,FLOW_SCORE,레짐,목표비중,실제비중,종가
2014-06-11,0.6289,0.691,0.9581,0.0,0.6324,확장(Risk-On),1.0,0.0,246.2
2014-06-12,0.3471,0.6389,1.2321,0.0,0.5892,확장(Risk-On),1.0,0.0,245.4
2014-06-13,-0.0976,0.4617,1.1151,0.0,0.3601,확장(Risk-On),1.0,0.0,241.7
2014-06-16,-0.0413,0.3894,1.0884,0.0,0.355,확장(Risk-On),1.0,0.0,242.625
2014-06-17,0.2054,0.569,1.0176,0.0,0.4685,확장(Risk-On),1.0,0.0,243.65
2014-06-18,-0.0384,0.6203,0.8117,0.0,0.3446,확장(Risk-On),1.0,0.0,242.15
2014-06-19,0.01,0.5963,0.6955,0.0,0.3265,확장(Risk-On),1.0,0.0,242.75
2014-06-20,-0.5472,0.3516,0.5159,0.0,0.0254,중립(Neutral),0.5,0.0,238.9
2014-06-23,-0.5099,0.3511,0.4686,0.0,0.0265,중립(Neutral),0.5,0.0,240.3
2014-06-24,-0.17,0.1452,0.3819,0.0,0.0723,중립(Neutral),0.5,0.0,243.3
2014-06-25,-0.2009,0.2071,0.4378,0.0,0.0909,중립(Neutral),0.5,0.0,241.4
2014-06-26,-0.2147,0.2245,0.5799,0.0,0.126,중립(Neutral),0.5,0.0,243.4
2014-06-27,-0.3043,0.238,0.5527,0.0,0.0912,중립(Neutral),0.5,0.0,242.8
2014-06-30,-0.1966,0.2215,0.4502,0.0,0.0991,중립(Neutral),0.5,0.0,243.15
2014-07-01,-0.225,0.3593,0.3448,0.0,0.0973,중립(Neutral),0.5,0.5,243.2
2014-07-02,0.014,0.3938,0.3323,0.0,0.1864,중립(Neutral),0.5,0.5,245.15
2014-07-03,0.0519,0.4128,0.2639,0.0,0.1873,중립(Neutral),0.5,0.5,245.025
2014-07-04,-0.0137,0.4459,0.4195,0.0,0.2115,확장(Risk-On),1.0,0.5,244.4
2014-07-07,-0.3016,0.2376,0.2842,0.0,0.0249,중립(Neutral),0.5,0.5,242.95
2014-07-08,-0.3429,0.2545,0.2456,0.0,0.005,중립(Neutral),0.5,0.5,242.7
2014-07-09,-0.3655,0.1868,0.1766,0.0,-0.0371,중립(Neutral),0.5,0.5,241.6
2014-07-10,-0.093,0.0151,0.1699,0.0,0.0137,중립(Neutral),0.5,0.5,242.05
2014-07-11,-0.366,-0.0056,-0.0864,0.0,-0.1511,중립(Neutral),0.5,0.5,239.9
2014-07-14,-0.3025,-0.1035,0.1087,0.0,-0.1046,중립(Neutral),0.5,0.5,240.75
2014-07-15,-0.032,0.0592,0.1147,0.0,0.0323,중립(Neutral),0.5,0.5,243.65
2014-07-16,0.2829,0.2798,-0.1404,0.0,0.1339,중립(Neutral),0.5,0.5,244.05
2014-07-17,0.2878,-0.2365,-0.1853,0.0,-0.0047,중립(Neutral),0.5,0.5,244.75
2014-07-18,0.1867,0.1953,-0.2153,0.0,0.0603,중립(Neutral),0.5,0.5,244.4
2014-07-21,0.1743,0.0509,-0.1862,0.0,0.0272,중립(Neutral),0.5,0.5,244.45
2014-07-22,0.5116,0.194,-0.1456,0.0,0.1912,중립(Neutral),0.5,0.5,246.25
2014-07-23,0.4687,0.3346,-0.2722,0.0,0.1797,중립(Neutral),0.5,0.5,245.85
2014-07-24,0.5007,0.3698,-0.4264,0.0,0.1611,중립(Neutral),0.5,0.5,246.3
2014-07-25,0.5635,0.1628,-0.4293,0.0,0.1306,중립(Neutral),0.5,0.5,246.875
2014-07-28,0.8165,0.1549,-0.2374,0.0,0.2652,확장(Risk-On),1.0,0.5,249.15
2014-07-29,1.1138,0.0173,-0.267,0.0,0.3274,확장(Risk-On),1.0,0.5,251.825
2014-07-30,1.5773,0.1368,-0.2102,0.0,0.5337,확장(Risk-On),1.0,0.5,256.375
2014-07-31,1.3139,-0.2777,-0.365,0.0,0.2992,확장(Risk-On),1.0,0.5,253.9
