date,TREND,RISK,FLOW,COST,FLOW_SCORE,레짐,목표비중,실제비중,종가
1990-01-02,0.4351,-0.5033,-0.4903,-0.4733,-0.1671,중립(Neutral),0.5,0.0,851.65
1990-01-03,0.3201,-0.1292,-0.3473,-0.6286,-0.1014,중립(Neutral),0.5,0.0,850.85
1990-01-04,0.2442,-0.0227,-0.2716,-0.5544,-0.0713,중립(Neutral),0.5,0.0,849.0
1990-01-05,0.1268,-0.3021,-0.2209,-0.4887,-0.1597,중립(Neutral),0.5,0.0,843.75
1990-01-08,0.2126,-0.2406,0.1407,-0.3795,-0.0075,중립(Neutral),0.5,0.0,846.7
1990-01-09,0.0614,-0.2141,-0.024,-0.6075,-0.1292,중립(Neutral),0.5,0.0,841.35
1990-01-10,0.0488,0.981,0.293,-0.6957,0.2312,확장(Risk-On),1.0,0.0,840.45
1990-01-11,0.1307,0.4036,-0.0889,-0.6388,0.0286,중립(Neutral),0.5,0.0,841.0
1990-01-12,-0.4282,0.0406,-0.2907,-0.8572,-0.341,수축(Risk-Off),0.0,0.0,830.1
1990-01-15,-0.1163,0.0968,-0.3454,-1.2617,-0.2921,수축(Risk-Off),0.0,0.0,828.35
1990-01-16,-0.1462,0.2635,-0.5127,-1.362,-0.3178,수축(Risk-Off),0.0,0.0,831.25
1990-01-17,-0.2764,0.0009,-0.5952,-1.5938,-0.4844,수축(Risk-Off),0.0,0.0,827.9
1990-01-18,-0.034,0.7357,-0.5803,-1.9698,-0.2685,수축(Risk-Off),0.0,0.0,830.0
1990-01-19,-0.0183,0.8721,-0.5739,-1.8544,-0.21,수축(Risk-Off),0.0,0.0,831.35
1990-01-22,-0.5011,0.5641,-0.8009,-1.9064,-0.5205,수축(Risk-Off),0.0,0.0,820.55
1990-01-23,-0.5685,0.5265,-0.6736,-1.6314,-0.4805,수축(Risk-Off),0.0,0.0,819.4
1990-01-24,-0.4815,0.886,-0.3571,-1.5234,-0.2648,수축(Risk-Off),0.0,0.0,822.25
1990-01-25,-0.698,0.8205,-0.4192,-1.4897,-0.3674,수축(Risk-Off),0.0,0.0,815.9
1990-01-26,-0.7181,0.7516,-0.5944,-1.8083,-0.4832,수축(Risk-Off),0.0,0.0,815.95
1990-01-29,-0.7407,0.8187,-0.4823,-1.7511,-0.4378,수축(Risk-Off),0.0,0.0,815.85
