구간,규칙,전략 CAGR(%),보유 CAGR(%),초과(%p),전략 샤프,보유 샤프,전략 MDD(%),보유 MDD(%)
후향 OOS 1997-2014,정적 가중 x 월말,7.68,6.8,0.88,0.435,0.222,-41.47,-57.3
후향 OOS 1997-2014,정적 가중 x 주말,9.24,6.8,2.44,0.531,0.222,-33.16,-57.3
후향 OOS 1997-2014,동적 가중 x 주말,8.33,6.8,1.53,0.482,0.222,-36.67,-57.3
  ├ 전반 1997-2003,정적 가중 x 월말,8.12,3.48,4.64,0.361,0.086,-41.47,-57.3
  ├ 전반 1997-2003,정적 가중 x 주말,12.54,3.48,9.06,0.553,0.086,-33.16,-57.3
  ├ 전반 1997-2003,동적 가중 x 주말,8.21,3.48,4.73,0.362,0.086,-36.67,-57.3
  └ 후반 2004-2014,정적 가중 x 월말,7.42,8.9,-1.48,0.533,0.398,-18.72,-54.54
  └ 후반 2004-2014,정적 가중 x 주말,7.27,8.9,-1.63,0.552,0.398,-21.52,-54.54
  └ 후반 2004-2014,동적 가중 x 주말,8.41,8.9,-0.49,0.649,0.398,-18.71,-54.54
설계표본 2014-2024,정적 가중 x 월말,3.13,4.77,-1.64,0.29,0.266,-25.49,-42.49
설계표본 2014-2024,정적 가중 x 주말,4.21,4.77,-0.56,0.398,0.266,-18.81,-42.49
설계표본 2014-2024,동적 가중 x 주말,2.12,4.77,-2.65,0.187,0.266,-22.52,-42.49
전향 OOS 2024-2025,정적 가중 x 월말,-8.64,-6.96,-1.68,-0.758,-0.356,-11.45,-18.36
전향 OOS 2024-2025,정적 가중 x 주말,-15.61,-6.96,-8.65,-1.775,-0.356,-16.3,-18.36
전향 OOS 2024-2025,동적 가중 x 주말,-17.16,-6.96,-10.2,-1.732,-0.356,-17.73,-18.36
