위기,규칙,전략(%),보유(%),평균비중(%)
닷컴붕괴 2000.01-2001.09,정적 가중 x 주말,-25.0,-53.3,21.0
닷컴붕괴 2000.01-2001.09,동적 가중 x 주말,-28.4,-53.3,22.0
금융위기 2007.11-2009.03,정적 가중 x 주말,-17.3,-41.6,22.0
금융위기 2007.11-2009.03,동적 가중 x 주말,-11.1,-41.6,18.0
차이나쇼크 2015.06-2016.02,정적 가중 x 주말,-5.4,-10.1,28.0
차이나쇼크 2015.06-2016.02,동적 가중 x 주말,-4.2,-10.1,27.0
코로나 2020.02-2020.03,정적 가중 x 주말,-5.4,-17.7,24.0
코로나 2020.02-2020.03,동적 가중 x 주말,-8.2,-17.7,42.0
긴축 2022.01-2022.10,정적 가중 x 주말,0.8,-25.1,1.0
긴축 2022.01-2022.10,동적 가중 x 주말,-1.0,-25.1,2.0
