신호구성,구간,전략 CAGR(%),보유 CAGR(%),초과(%p),샤프,평균비중(%)
4층 전체,후향 OOS 1997-2014,9.24,6.8,2.44,0.531,59.0
4층 전체,  ├ 전반 1997-2003,12.54,3.48,9.06,0.553,46.0
4층 전체,  └ 후반 2004-2014,7.27,8.9,-1.63,0.552,67.0
4층 전체,설계표본 2014-2024,4.21,4.77,-0.56,0.398,53.0
4층 전체,전향 OOS 2024-2025,-15.61,-6.96,-8.65,-1.775,40.0
COST 제외(3층),후향 OOS 1997-2014,10.72,6.8,3.92,0.62,58.0
COST 제외(3층),  ├ 전반 1997-2003,14.1,3.48,10.62,0.629,45.0
COST 제외(3층),  └ 후반 2004-2014,8.7,8.9,-0.2,0.66,66.0
COST 제외(3층),설계표본 2014-2024,2.72,4.77,-2.05,0.247,55.0
COST 제외(3층),전향 OOS 2024-2025,-10.16,-3.94,-6.22,-1.133,43.0
TREND+FLOW 만,후향 OOS 1997-2014,8.25,6.8,1.45,0.441,62.0
TREND+FLOW 만,  ├ 전반 1997-2003,8.92,3.48,5.44,0.363,53.0
TREND+FLOW 만,  └ 후반 2004-2014,7.85,8.9,-1.05,0.563,68.0
TREND+FLOW 만,설계표본 2014-2024,3.22,4.77,-1.55,0.297,52.0
TREND+FLOW 만,전향 OOS 2024-2025,-14.27,-3.94,-10.33,-1.425,40.0
