date,price,weight,strategy_ret,bench_ret,strategy,benchmark
1997-09-23,654.37,0.0,7.9e-05,0.0,1.000079,1.0
1997-09-24,655.75,0.0,7.9e-05,0.002109,1.000157,1.002109
1997-09-25,647.0,0.0,7.9e-05,-0.013343,1.000236,0.988737
1997-09-26,638.26,0.0,7.9e-05,-0.013509,1.000314,0.975381
1997-09-29,625.07,0.0,7.9e-05,-0.020666,1.000393,0.955224
1997-09-30,647.11,0.0,7.9e-05,0.03526,1.000472,0.988905
1997-10-01,644.92,0.0,7.9e-05,-0.003384,1.00055,0.985559
1997-10-02,636.65,0.0,7.9e-05,-0.012823,1.000629,0.972921
1997-10-06,644.21,0.0,7.9e-05,0.011875,1.000707,0.984474
1997-10-07,630.03,0.0,7.9e-05,-0.022011,1.000786,0.962804
1997-10-08,610.44,0.0,7.9e-05,-0.031094,1.000865,0.932867
1997-10-09,609.36,0.0,7.9e-05,-0.001769,1.000943,0.931216
1997-10-10,609.84,0.0,7.9e-05,0.000788,1.001022,0.93195
1997-10-13,613.0,0.0,7.9e-05,0.005182,1.001101,0.936779
1997-10-14,620.68,0.0,7.9e-05,0.012529,1.001179,0.948515
1997-10-15,604.74,0.0,7.9e-05,-0.025682,1.001258,0.924156
1997-10-16,579.25,0.0,7.9e-05,-0.04215,1.001337,0.885203
1997-10-17,585.49,0.0,7.9e-05,0.010773,1.001415,0.894738
1997-10-20,565.64,0.0,7.9e-05,-0.033903,1.001494,0.864404
1997-10-21,566.85,0.0,7.9e-05,0.002139,1.001573,0.866253
1997-10-22,601.32,0.0,7.9e-05,0.06081,1.001652,0.91893
1997-10-23,604.06,0.0,7.9e-05,0.004557,1.00173,0.923117
1997-10-24,570.91,0.0,7.9e-05,-0.054879,1.001809,0.872457
1997-10-27,530.47,0.0,7.9e-05,-0.070834,1.001888,0.810658
1997-10-28,495.28,0.0,7.9e-05,-0.066337,1.001966,0.756881
1997-10-29,506.64,0.0,7.9e-05,0.022937,1.002045,0.774241
1997-10-30,485.08,0.0,7.9e-05,-0.042555,1.002124,0.741293
1997-10-31,470.79,0.0,7.9e-05,-0.029459,1.002203,0.719455
1997-11-03,511.66,0.0,7.9e-05,0.086812,1.002281,0.781912
1997-11-04,542.13,0.0,7.9e-05,0.059551,1.00236,0.828476
1997-11-05,555.74,0.0,7.9e-05,0.025105,1.002439,0.849275
1997-11-06,553.87,0.0,7.9e-05,-0.003365,1.002518,0.846417
1997-11-07,515.63,0.0,7.9e-05,-0.069041,1.002597,0.787979
1997-11-10,525.32,0.0,7.9e-05,0.018793,1.002675,0.802787
1997-11-11,522.11,0.0,7.9e-05,-0.006111,1.002754,0.797882
1997-11-12,517.49,0.0,7.9e-05,-0.008849,1.002833,0.790822
1997-11-13,519.47,0.0,7.9e-05,0.003826,1.002912,0.793848
1997-11-14,520.01,0.0,7.9e-05,0.00104,1.002991,0.794673
