시장,임계값,비용(bp),리밸런싱,CAGR(%),변동성(%),샤프,MDD(%),회전율
KOSPI,0.0,5.0,M,2.7,11.61,0.233,-28.16,3.57
KOSPI,0.0,5.0,W,4.39,11.86,0.37,-22.37,7.65
KOSPI,0.0,10.0,M,2.52,11.61,0.217,-28.52,3.57
KOSPI,0.0,10.0,W,3.99,11.86,0.336,-23.06,7.65
KOSPI,0.0,25.0,M,1.97,11.61,0.17,-29.58,3.57
KOSPI,0.0,25.0,W,2.8,11.88,0.236,-25.12,7.65
KOSPI,0.1,5.0,M,2.96,11.01,0.269,-26.1,3.57
KOSPI,0.1,5.0,W,3.83,11.03,0.347,-20.34,8.47
KOSPI,0.1,10.0,M,2.77,11.01,0.252,-26.37,3.57
KOSPI,0.1,10.0,W,3.39,11.04,0.307,-21.13,8.47
KOSPI,0.1,25.0,M,2.23,11.01,0.202,-27.2,3.57
KOSPI,0.1,25.0,W,2.09,11.05,0.189,-23.47,8.47
KOSPI,0.2,5.0,M,2.67,10.96,0.244,-29.65,3.27
KOSPI,0.2,5.0,W,4.79,10.82,0.443,-21.41,6.94
KOSPI,0.2,10.0,M,2.5,10.96,0.228,-30.0,3.27
KOSPI,0.2,10.0,W,4.43,10.82,0.409,-22.2,6.94
KOSPI,0.2,25.0,M,2.0,10.96,0.183,-31.04,3.27
KOSPI,0.2,25.0,W,3.35,10.83,0.309,-24.5,6.94
KOSPI,0.3,5.0,M,1.91,10.6,0.18,-28.54,3.21
KOSPI,0.3,5.0,W,4.38,10.53,0.416,-19.45,6.53
KOSPI,0.3,10.0,M,1.75,10.6,0.165,-28.88,3.21
KOSPI,0.3,10.0,W,4.04,10.53,0.383,-20.15,6.53
KOSPI,0.3,25.0,M,1.26,10.6,0.119,-29.89,3.21
KOSPI,0.3,25.0,W,3.02,10.54,0.287,-22.24,6.53
KOSPI,0.4,5.0,M,2.12,10.19,0.208,-25.65,3.21
KOSPI,0.4,5.0,W,3.73,10.3,0.362,-18.66,6.84
KOSPI,0.4,10.0,M,1.95,10.19,0.192,-25.99,3.21
KOSPI,0.4,10.0,W,3.37,10.3,0.328,-19.21,6.84
KOSPI,0.4,25.0,M,1.46,10.18,0.144,-26.98,3.21
KOSPI,0.4,25.0,W,2.32,10.3,0.225,-20.83,6.84
SP500,0.0,5.0,M,3.53,9.54,0.37,-28.19,3.18
SP500,0.0,5.0,W,3.76,9.06,0.414,-23.94,6.28
SP500,0.0,10.0,M,3.37,9.54,0.353,-28.76,3.18
SP500,0.0,10.0,W,3.43,9.07,0.378,-25.34,6.28
SP500,0.0,25.0,M,2.87,9.54,0.301,-30.45,3.18
SP500,0.0,25.0,W,2.46,9.09,0.271,-29.43,6.28
SP500,0.1,5.0,M,3.87,9.26,0.418,-20.06,3.42
SP500,0.1,5.0,W,3.04,8.78,0.346,-27.93,6.84
SP500,0.1,10.0,M,3.69,9.26,0.399,-20.58,3.42
SP500,0.1,10.0,W,2.68,8.78,0.306,-29.03,6.84
SP500,0.1,25.0,M,3.16,9.26,0.342,-22.11,3.42
SP500,0.1,25.0,W,1.64,8.79,0.186,-35.05,6.84
SP500,0.2,5.0,M,3.21,9.0,0.357,-24.11,3.24
SP500,0.2,5.0,W,2.55,8.37,0.305,-33.41,7.33
SP500,0.2,10.0,M,3.05,9.0,0.338,-24.66,3.24
SP500,0.2,10.0,W,2.18,8.37,0.26,-35.84,7.33
SP500,0.2,25.0,M,2.55,9.0,0.283,-26.28,3.24
SP500,0.2,25.0,W,1.06,8.38,0.126,-42.64,7.33
SP500,0.3,5.0,M,3.39,8.64,0.392,-22.5,2.98
SP500,0.3,5.0,W,3.01,7.99,0.376,-30.72,6.72
SP500,0.3,10.0,M,3.24,8.64,0.375,-22.85,2.98
SP500,0.3,10.0,W,2.66,7.99,0.333,-31.67,6.72
SP500,0.3,25.0,M,2.78,8.64,0.321,-23.89,2.98
SP500,0.3,25.0,W,1.63,8.0,0.204,-38.09,6.72
SP500,0.4,5.0,M,3.87,8.21,0.471,-23.84,2.48
SP500,0.4,5.0,W,3.11,7.89,0.395,-31.15,5.9
SP500,0.4,10.0,M,3.74,8.2,0.456,-24.11,2.48
SP500,0.4,10.0,W,2.81,7.89,0.356,-31.97,5.9
SP500,0.4,25.0,M,3.35,8.21,0.409,-24.9,2.48
SP500,0.4,25.0,W,1.9,7.9,0.241,-37.62,5.9
