시장,규칙,현금이자,CAGR(%),변동성(%),샤프,MDD(%),칼마,평균비중(%),회전율
KOSPI,V0 3단계x월말,0%,1.82,10.92,0.166,-28.64,0.063,51.9,3.27
KOSPI,V0 3단계x월말,2%,2.78,10.92,0.254,-27.12,0.102,51.9,3.27
KOSPI,V1 3단계x주말,0%,2.91,10.75,0.271,-23.36,0.125,53.4,7.14
KOSPI,V1 3단계x주말,2%,3.85,10.75,0.358,-20.95,0.184,53.4,7.14
KOSPI,V2 연속형x주말,0%,3.34,10.19,0.328,-19.89,0.168,52.2,7.17
KOSPI,V2 연속형x주말,2%,4.31,10.18,0.424,-17.13,0.252,52.2,7.17
KOSPI,V3 연속형+변동성타겟x주말,0%,1.2,6.34,0.19,-13.75,0.088,35.5,5.0
KOSPI,V3 연속형+변동성타겟x주말,2%,2.49,6.34,0.392,-11.23,0.221,35.5,5.0
KOSPI,Buy & Hold,-,4.46,18.08,0.247,-42.49,0.105,100.0,0.0
SP500,V0 3단계x월말,0%,3.36,8.78,0.382,-23.14,0.145,64.8,3.13
SP500,V0 3단계x월말,2%,4.1,8.78,0.467,-21.72,0.189,64.8,3.13
SP500,V1 3단계x주말,0%,2.17,8.25,0.263,-32.12,0.067,65.5,7.24
SP500,V1 3단계x주말,2%,2.89,8.25,0.35,-24.76,0.117,65.5,7.24
SP500,V2 연속형x주말,0%,2.46,7.83,0.314,-27.9,0.088,64.1,6.65
SP500,V2 연속형x주말,2%,3.21,7.83,0.41,-24.08,0.133,64.1,6.65
SP500,V3 연속형+변동성타겟x주말,0%,2.12,6.37,0.333,-18.68,0.113,57.7,5.08
SP500,V3 연속형+변동성타겟x주말,2%,3.0,6.37,0.471,-13.6,0.221,57.7,5.08
SP500,Buy & Hold,-,5.49,15.97,0.344,-61.04,0.09,100.0,0.0
